Affiliation.Status,Social.Network.Type,Size.Relative.To.Max.Total.Network.Size
Affiliation,Supernatural Worldview Club,0.08
Affiliation,Family,0.02
Affiliation,Job,0.04
Affiliation,Neighborhood,0.06
Affiliation,Online,0.14
Affiliation,Offline,0.12
Unaffiliation,Supernatural Worldview Club,0
Unaffiliation,Family,0.02
Unaffiliation,Job,0.04
Unaffiliation,Neighborhood,0.06
Unaffiliation,Online,0.23
Unaffiliation,Offline,0.19
